Identifiant du patient;Nom;Prénom;Date de Naissance;Adresse;Code Postale;Ville;Tel;CodeCIS
1;Charlotte;Chartier;1996-05-16;982, avenue Antoinette Buisson;61121;Pascal;03 84 92 09 21;60116810, 60118715
2;Aurelie;Francois;2001-04-09;10, rue Mahe;77731;Chretien-sur-Paul;02 69 77 55 58;60207594, 60209937
4;Timothee;Goncalves;1974-11-19;87, avenue Lacombe;25465;Saint Huguesdan;01 80 10 98 74;60241874
5;Auguste;Chauveau;1983-11-11;63, chemin Wagner;14748;Menard;06 33 92 04 33;60095729, 60238853
6;Alfred;Mathieu;2005-01-25;87, chemin Edith Michaud;29151;Chauvin;01 41 56 65 41;60127671
8;Suzanne;Dumas;1972-11-28;3, rue Jeannine Bouvier;52547;Mary;02 29 81 93 34;60092811, 60240181
9;Sabine;Lebrun;1982-03-17;1, chemin Goncalves;31501;Blanchetboeuf;01 58 38 29 18;60043077
10;Margaux;Bonnin;1985-09-12;5, avenue Amelie Thomas;17606;Simon-la-Foret;04 50 03 08 89;60003620, 60040572, 60151697, 60184590
12;Edith;Pottier;1972-08-10;6, rue Elodie Schmitt;3868;Boulay;04 72 81 93 54;60020616, 60065390
13;Anastasie;Poulain;1998-12-16;boulevard Elodie Wagner;7115;Gaudinnec;02 90 83 97 89;60123363, 60199966, 60225681
14;Anais;Rocher;1971-02-06;rue Valette;42964;Techer;05 87 98 97 19;60063973, 60140010, 60148893, 60232334
15;Philippe;Denis;1972-01-15;3, chemin de Gonzalez;69865;Guibert;02 98 50 18 16;60041165, 60068034, 60108518, 60144119, 60156413, 60184188
16;Guy;Bouvier;1997-06-02;6, rue de Marchand;38476;Brunet;01 58 49 74 51;60182237
17;Anastasie;Clerc;1991-03-24;67, rue de Buisson;31716;Gosselindan;04 81 93 68 08;60044784, 60178281, 60180720, 60197011
18;Patrick;Besnard;1994-08-20;4, rue Fournier;1342;Rousseldan;04 71 83 57 91;60025403
19;Pauline;Techer;1999-01-19;rue de Clerc;51111;GermainVille;06 31 64 64 53;60008845, 60093639, 60108870, 60128339, 60132654, 60139257
20;Laurent;Bousquet;1976-01-11;8, rue Marthe Philippe;79876;Dubois;02 47 11 01 64;60120812, 60158147, 60186552, 60241034
21;Lorraine;Lemaire;2004-09-02;83, rue de Nguyen;52743;Jacques-sur-Colin;03 65 76 41 64;60136275
